0.000,0.000,46.833,0.000,8.000,0.000,54.833

lap,curlap_eval,alllaps_eval,curlap_plan,alllaps_plan,curlap_total,alllaps_total
1.000,0.000,46.833,0.002,8.002,0.002,54.836

2.000,0.113,46.946,0.068,8.070,0.180,55.016

3.000,0.114,47.060,0.027,8.098,0.141,55.157

4.000,0.110,47.170,0.026,8.124,0.137,55.294

5.000,0.112,47.282,0.027,8.151,0.139,55.433

6.000,0.101,47.383,0.019,8.169,0.120,55.553

7.000,0.113,47.497,0.019,8.188,0.132,55.685

8.000,0.092,47.588,0.009,8.197,0.101,55.785

9.000,0.098,47.686,0.009,8.206,0.107,55.892

10.000,0.091,47.777,0.009,8.215,0.100,55.992

11.000,0.091,47.868,0.009,8.224,0.099,56.091

12.000,0.101,47.969,0.009,8.233,0.110,56.201

13.000,0.100,48.069,0.019,8.251,0.119,56.320

14.000,0.109,48.178,0.019,8.270,0.128,56.448

15.000,0.101,48.279,0.018,8.288,0.119,56.568

16.000,0.098,48.377,0.026,8.315,0.124,56.691

17.000,0.108,48.485,0.018,8.333,0.126,56.818

18.000,0.121,48.606,0.026,8.359,0.148,56.965

19.000,0.116,48.723,0.026,8.385,0.143,57.108

20.000,0.121,48.843,0.027,8.412,0.147,57.255

21.000,0.103,48.947,0.026,8.438,0.129,57.385

22.000,0.102,49.048,0.019,8.457,0.121,57.505

23.000,0.101,49.150,0.019,8.476,0.120,57.625

24.000,0.100,49.250,0.019,8.494,0.119,57.744

25.000,0.101,49.351,0.019,8.513,0.120,57.864

26.000,0.100,49.452,0.017,8.530,0.118,57.981

27.000,0.103,49.554,0.019,8.549,0.121,58.103

28.000,0.102,49.656,0.019,8.568,0.121,58.224

29.000,0.090,49.746,0.019,8.587,0.109,58.333

30.000,0.093,49.839,0.009,8.596,0.102,58.435

31.000,0.101,49.941,0.018,8.614,0.119,58.554

32.000,0.101,50.041,0.019,8.632,0.119,58.674

33.000,0.102,50.143,0.019,8.651,0.120,58.794

34.000,0.107,50.250,0.019,8.670,0.126,58.920

35.000,0.117,50.367,0.027,8.696,0.144,59.064

36.000,0.120,50.487,0.026,8.723,0.146,59.210

37.000,0.111,50.598,0.027,8.749,0.138,59.347

38.000,0.105,50.703,0.026,8.776,0.131,59.479

39.000,0.108,50.810,0.026,8.802,0.134,59.612

40.000,0.102,50.912,0.026,8.828,0.128,59.740

41.000,0.093,51.005,0.019,8.847,0.112,59.852

42.000,0.101,51.106,0.009,8.856,0.110,59.962

43.000,0.100,51.206,0.009,8.865,0.109,60.071

44.000,0.101,51.307,0.009,8.875,0.110,60.181

45.000,0.093,51.400,0.009,8.883,0.102,60.283

46.000,0.100,51.500,0.009,8.892,0.109,60.392

47.000,0.093,51.593,0.009,8.901,0.102,60.495

48.000,0.093,51.687,0.009,8.910,0.102,60.597

49.000,0.108,51.794,0.009,8.919,0.117,60.713

50.000,0.092,51.886,0.018,8.937,0.110,60.824

51.000,0.100,51.986,0.009,8.946,0.109,60.932

52.000,0.104,52.090,0.009,8.955,0.113,61.045

53.000,0.110,52.201,0.009,8.964,0.119,61.165

54.000,0.109,52.310,0.019,8.983,0.127,61.292

55.000,0.108,52.418,0.019,9.001,0.127,61.419

56.000,0.100,52.518,0.018,9.019,0.118,61.537

57.000,0.094,52.612,0.009,9.028,0.103,61.639

58.000,0.098,52.710,0.009,9.037,0.107,61.747

59.000,0.098,52.808,0.009,9.045,0.107,61.853

60.000,0.098,52.906,0.009,9.054,0.107,61.960

61.000,0.101,53.007,0.009,9.063,0.110,62.070

62.000,0.100,53.107,0.009,9.072,0.109,62.179

63.000,0.102,53.209,0.009,9.081,0.111,62.290

64.000,0.101,53.309,0.009,9.091,0.110,62.400

65.000,0.101,53.410,0.009,9.100,0.109,62.509

66.000,0.099,53.509,0.009,9.108,0.108,62.617

67.000,0.102,53.611,0.009,9.117,0.111,62.728

68.000,0.099,53.710,0.009,9.126,0.108,62.836

69.000,0.092,53.802,0.009,9.135,0.101,62.937

70.000,0.106,53.908,0.009,9.144,0.114,63.052

71.000,0.092,54.000,0.009,9.153,0.101,63.153

72.000,0.098,54.098,0.009,9.162,0.107,63.260

73.000,0.107,54.205,0.009,9.171,0.116,63.376

74.000,0.108,54.313,0.017,9.188,0.125,63.501

75.000,0.108,54.421,0.019,9.207,0.126,63.627

76.000,0.097,54.518,0.009,9.215,0.106,63.734

77.000,0.101,54.620,0.009,9.224,0.110,63.844

78.000,0.095,54.714,0.009,9.233,0.104,63.947

79.000,0.101,54.815,0.009,9.242,0.110,64.057

80.000,0.098,54.913,0.009,9.251,0.107,64.164

81.000,0.127,55.041,0.009,9.260,0.136,64.301

82.000,0.098,55.139,0.009,9.269,0.107,64.408

83.000,0.102,55.241,0.009,9.277,0.111,64.518

84.000,0.092,55.333,0.009,9.286,0.101,64.619

85.000,0.108,55.441,0.009,9.295,0.117,64.737

86.000,0.106,55.547,0.018,9.313,0.123,64.860

87.000,0.105,55.653,0.009,9.322,0.114,64.974

88.000,0.112,55.764,0.009,9.330,0.121,65.095

89.000,0.093,55.857,0.019,9.349,0.111,65.206

90.000,0.110,55.967,0.009,9.358,0.119,65.325

91.000,0.108,56.075,0.017,9.375,0.125,65.450

92.000,0.099,56.174,0.019,9.394,0.118,65.568

93.000,0.108,56.282,0.009,9.403,0.117,65.685

94.000,0.117,56.400,0.017,9.420,0.135,65.820

95.000,0.110,56.510,0.009,9.429,0.119,65.939

96.000,0.101,56.611,0.013,9.442,0.113,66.052

97.000,0.095,56.706,0.009,9.450,0.104,66.156

98.000,0.108,56.814,0.009,9.459,0.117,66.273

99.000,0.092,56.906,0.019,9.478,0.111,66.384

100.000,0.102,57.009,0.009,9.487,0.111,66.496

